Price,Close,High,Low,Open,Volume
Ticker,CRISIL.NS,CRISIL.NS,CRISIL.NS,CRISIL.NS,CRISIL.NS
Date,,,,,
2016-04-18,1684.5679931640625,1696.5469669152517,1645.518851330621,1660.8229876175558,18856
2016-04-20,1821.1123046875,1913.5768029373319,1729.031435096739,1729.031435096739,266319
2016-04-21,1758.360595703125,1848.3950770188412,1730.778888285678,1820.301934231489,63696
2016-04-22,1730.0968017578125,1798.9869601567834,1713.854825535421,1758.9147387694047,37290
2016-04-25,1685.54833984375,1755.4615735021225,1677.8749361495384,1755.4615735021225,35479
2016-04-26,1704.731689453125,1717.9896662253425,1676.7664610546783,1703.4954606045828,32637
2016-04-27,1696.63232421875,1717.947336729738,1683.843316712157,1709.5492426158507,13670
2016-04-28,1689.196044921875,1706.9320691759567,1674.8790132950862,1689.8371060394925,7093
2016-04-29,1668.34033203125,1705.22273946961,1652.442035628884,1703.2995559288547,17198
2016-05-02,1705.051025390625,1711.632541993643,1660.7750457396494,1681.9728338131827,20682
2016-05-03,1710.35107421875,1726.5912893162792,1683.8538811648862,1709.4963260557222,13076
2016-05-04,1707.359375,1717.1889784105133,1696.6750234668336,1710.3509934292867,16634
2016-05-05,1702.01708984375,1713.983562791804,1687.272685675612,1707.9575471786454,15407
2016-05-06,1709.6668701171875,1730.0099138037835,1683.9817558878926,1709.282275261421,19853
2016-05-09,1725.4371337890625,1727.445770794207,1709.496062141719,1726.548243625839,12416
2016-05-10,1729.9674072265625,1738.4722135823397,1719.5823010911547,1726.591193904922,61408
2016-05-11,1788.8599853515625,1799.2450932735314,1712.0607704640777,1721.4202222063964,36073
2016-05-12,1792.32177734375,1803.4335061770746,1769.3291296140064,1786.4240970498906,11495
2016-05-13,1790.8251953125,1794.9708065992256,1773.6021065206635,1793.2613105929408,8381
2016-05-16,1787.3642578125,1797.4501208332347,1777.919247339491,1789.1591040394583,2867
2016-05-17,1777.748046875,1802.6638723071285,1769.4142523017451,1787.4065341553617,5625
2016-05-18,1772.4483642578125,1794.9282816597922,1766.7643727034367,1794.9282816597922,5606
2016-05-19,1764.4134521484375,1792.9193796936243,1745.8226842742806,1777.7901740668688,8201
2016-05-20,1785.44091796875,1790.868444004546,1726.676873005729,1765.0550892772615,5333
2016-05-23,1782.8765869140625,1793.2189147555202,1761.2941952215033,1793.2189147555202,6692
2016-05-24,1801.2108154296875,1819.7588085200941,1771.3799798338289,1786.3808515787507,12687
2016-05-25,1801.25341796875,1827.4513626854296,1793.0049739355484,1803.4756377301678,9870
2016-05-26,1833.348876953125,1837.708175165699,1793.1757214960144,1793.2185006311786,23290
2016-05-27,1826.7244873046875,1846.2555613206932,1815.4846352986817,1823.1773668041844,7908
2016-05-30,1863.906005859375,1904.3784041589163,1812.0656269375684,1812.0656269375684,21263
2016-05-31,1911.64404296875,1919.764149567544,1856.982946073665,1856.982946073665,35780
2016-06-01,1900.404296875,1923.1832505713835,1846.3840492937377,1911.2167770122728,24478
2016-06-02,1900.8739013671875,1940.2778657240776,1881.3858148570605,1906.0879473853272,28947
