Price,Close,High,Low,Open,Volume
Ticker,ESABINDIA.NS,ESABINDIA.NS,ESABINDIA.NS,ESABINDIA.NS,ESABINDIA.NS
Date,,,,,
2021-03-30,1634.8719482421875,1669.5217316751143,1620.939112529202,1656.6361541380375,5679
2021-03-31,1629.8179931640625,1651.9010138844026,1622.8515747043987,1634.8720897937692,3859
2021-04-01,1667.19970703125,1674.6669103449988,1637.9680749683002,1637.9680749683002,3619
2021-04-05,1630.9561767578125,1666.4711353806795,1616.3859373227901,1666.4711353806795,3637
2021-04-06,1639.8804931640625,1652.8115362000694,1622.8059938231527,1622.8059938231527,3695
2021-04-07,1637.46728515625,1669.2486423585244,1626.4029872824617,1626.4029872824617,6167
2021-04-08,1664.8775634765625,1684.6839832799894,1639.10640726749,1640.0626237228437,9290
2021-04-09,1700.6658935546875,1802.8852405924292,1650.0797936070205,1653.7223538578087,56275
2021-04-12,1642.06591796875,1684.6839122128129,1630.1821332852678,1684.6839122128129,8218
2021-04-13,1665.560546875,1794.5527240909337,1630.5919489181385,1639.1519870831055,15985
2021-04-15,1661.052978515625,1673.8929806082574,1640.6090433008062,1665.5606021648953,3004
2021-04-16,1679.0836181640625,1719.2883982257583,1657.0461736262264,1669.3852794903767,6408
2021-04-19,1658.45751953125,1677.398875950365,1630.9562360624884,1630.9562360624884,3829
2021-04-20,1662.9652099609375,1702.8967505694084,1645.5264322347173,1645.5264322347173,4792
2021-04-22,1673.75634765625,1680.6317242346988,1638.5600888422641,1652.9026690792532,4918
2021-04-23,1662.0548095703125,1682.1343571846303,1648.258589749652,1663.739471531831,2742
2021-04-26,1667.9737548828125,1685.2759146406033,1643.0221969996821,1670.3413966172466,6281
2021-04-27,1672.6636962890625,1684.6841005415938,1658.1389207249613,1679.948816723837,3020
2021-04-28,1675.0767822265625,1682.4985208076412,1667.3819183299186,1682.4985208076412,2196
2021-04-29,1659.823486328125,1716.5564028884328,1654.6328827842347,1688.3265628409306,5791
2021-04-30,1622.441650390625,1669.885968419784,1610.0113931376568,1657.3646694064114,7286
2021-05-03,1648.2584228515625,1658.2754629904396,1602.726422220304,1630.045622599059,5338
2021-05-04,1636.8753662109375,1651.9009259007737,1625.4923664459102,1648.212789512062,2797
2021-05-05,1645.3900146484375,1689.4194405069948,1625.4925510320932,1644.6159928089412,14309
2021-05-06,1648.212890625,1675.577668203716,1639.1064902543276,1648.2584670916988,3576
2021-05-07,1639.7894287109375,1675.5776257252394,1634.052463320123,1642.7945852219195,4287
2021-05-10,1634.18896484375,1657.3647070795541,1630.1365503736836,1657.3647070795541,3103
2021-05-11,1637.33056640625,1646.7102019912143,1629.3168906931485,1631.8667269187986,2244
2021-05-12,1620.802734375,1645.5266349353121,1618.20743236306,1645.5266349353121,8260
2021-05-14,1629.362548828125,1656.3174694182906,1625.4467525343264,1653.7221677640773,4111
2021-05-17,1635.554931640625,1647.3476745641783,1612.925439884563,1647.3476745641783,3585
2021-05-18,1638.5146484375,1644.6158921661838,1624.8094715379366,1626.7673698324618,5144
2021-05-19,1643.7509765625,1674.6215873907643,1627.4504963457823,1627.4504963457823,10785
2021-05-20,1704.445068359375,1716.5566264217894,1639.607536271847,1661.9182192147298,20921
2021-05-21,1720.1533203125,1755.7138554703488,1686.5052180140488,1719.2882568091384,23562
2021-05-24,1678.4005126953125,1757.535148614034,1673.7562710635204,1730.2159494127795,12531
2021-05-25,1681.8154296875,1702.8967675178023,1676.3061244898538,1680.1307679520562,9240
2021-05-26,1675.21337890625,1719.288378641995,1657.4104329962875,1693.7904577723043,48815
2021-05-27,1669.2486572265625,1684.6839603988878,1655.5434810838801,1683.2724239672245,4661
2021-05-28,1643.568603515625,1677.626562198709,1639.106445224159,1677.3989021956966,5442
2021-05-31,1672.6636962890625,1728.3948231502407,1639.1520978242536,1673.6653781164207,24162
2021-06-01,1657.0914306640625,1681.0413052085257,1652.8114674720878,1675.5318891854452,3594
2021-06-02,1657.1829833984375,1675.5778698965817,1643.7054647626792,1675.4412516421537,5915
2021-06-03,1650.0794677734375,1689.236982737156,1645.5718448180335,1665.4237275674989,12758
