Price,Close,High,Low,Open,Volume
Ticker,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS
Date,,,,,
2016-04-18,170.1494903564453,174.78466678727057,168.2181680715031,174.78466678727057,242943
2016-04-20,166.67311096191406,171.69454571108892,165.80400713515255,171.5979737076202,111283
2016-04-21,160.9274139404297,168.02502880994993,160.58944140153085,168.02502880994993,152270
2016-04-22,161.74822998046875,164.1623826667444,159.47892056144218,160.9756981738968,71447
2016-04-25,160.25146484375,164.16239544695011,159.3340896985104,162.85874700094348,51276
2016-04-26,166.76963806152344,167.63874173106197,159.67203913511514,161.265373760378,220037
2016-04-27,163.0518798828125,168.74927438292954,161.7482315258409,167.88018530149432,74931
2016-04-28,164.1623992919922,166.57655222275676,162.32764895853916,163.8726979933364,90131
2016-04-29,162.66561889648438,167.83191197867265,160.68601057831785,163.19673547962464,322038
2016-05-02,171.2117156982422,172.85333661860594,162.2310645358983,162.2310645358983,666110
2016-05-03,170.8737335205078,172.129095932901,167.5904915817744,170.92201952383436,242663
2016-05-04,176.18487548828125,183.91016475921555,168.5078722222543,168.9907028016877,1395091
2016-05-05,168.5078582763672,174.39839675187542,167.0593666579457,172.17737332333203,155816
2016-05-06,167.107666015625,168.99070232311863,164.25896855199926,168.0250411669865,97122
2016-05-09,166.14199829101562,169.37695419527122,165.12805117019968,168.99069564201722,101949
2016-05-10,169.28041076660156,172.8533542482322,166.33514116903908,166.33514116903908,649312
2016-05-11,166.28683471679688,168.50785814359017,165.1280443699365,167.5421970654034,72474
2016-05-12,165.99713134765625,169.08725854664002,165.22461428272882,167.54219494714812,173413
2016-05-13,167.3490753173828,168.8941242710248,165.51431034548256,165.51431034548256,328612
2016-05-16,163.2450408935547,167.20424326579993,160.0583557506498,167.05939996900403,311447
2016-05-17,162.27935791015625,166.09371647526973,160.2031776133236,164.64522476182262,128169
2016-05-18,169.9080810546875,171.4048588251955,162.23107764863573,162.32764966021182,330530
2016-05-19,170.97030639648438,173.33617322332069,167.15594787140307,171.404850958994,214489
2016-05-20,167.3490753173828,170.92201852027785,164.838350507338,168.99069627711089,196913
2016-05-23,164.11410522460938,170.53576054588325,162.76218554371982,170.53576054588325,147169
2016-05-24,165.56260681152344,168.02504577414302,163.3898691506509,164.1141150376084,133074
2016-05-25,164.1623992919922,168.02504398121553,163.63128270025996,166.52826621717745,61858
2016-05-26,164.25897216796875,166.76968238829065,163.87269885612062,166.38342381126273,54061
2016-05-27,177.87477111816406,188.1107846401609,169.1355352434619,169.1355352434619,938174
2016-05-30,174.25355529785156,178.11619998047422,171.40485779138135,178.11619998047422,235452
2016-05-31,179.1784210205078,187.19341114079643,172.85333783435397,173.52929766104404,543609
2016-06-01,174.54324340820312,177.58506997201184,170.05292519785328,176.32972233286475,400491
2016-06-02,173.81900024414062,176.32972503048367,171.40484746297201,175.46062118837145,115936
2016-06-03,178.35760498046875,179.9992259288846,174.44667451804142,175.7503229171236,245093
2016-06-06,183.81361389160156,185.31037695216335,179.22672322709434,179.22672322709434,341529
2016-06-07,184.97238159179688,187.33824827511162,183.1376167110979,185.31035412665977,176939
2016-06-08,182.94448852539062,185.98632976605973,181.59256890830574,185.98632976605973,63865
2016-06-09,181.10975646972656,184.4412845792996,179.61297870026036,184.24815529110208,38994
2016-06-10,183.37901306152344,185.98630947907546,179.51636916567404,180.8683033701116,157196
2016-06-13,178.01963806152344,182.50995649403612,177.19882019394512,182.22025520343087,320766
2016-06-14,177.19882202148438,179.51640290058944,176.32973287552494,177.05397874209774,30648
2016-06-15,177.53680419921875,183.9584448036874,175.7503252192709,177.68164747442773,58876
2016-06-16,178.45416259765625,178.6472918581068,175.7020227480771,178.21274733838854,42488
2016-06-17,182.36512756347656,185.40695451709428,176.2331729133839,182.5099708527647,366140
2016-06-20,179.61297607421875,183.8136080214954,178.69560091757788,182.50995955928678,73822
2016-06-21,177.9230499267578,179.3232555138175,176.812545604046,178.93699698456598,111791
