Price,Close,High,Low,Open,Volume
Ticker,ASTRAMICRO.NS,ASTRAMICRO.NS,ASTRAMICRO.NS,ASTRAMICRO.NS,ASTRAMICRO.NS
Date,,,,,
2016-04-18,112.76195526123047,113.9350925253709,110.3218311838707,113.09043226313747,220782
2016-04-20,113.93508911132812,119.94155315579692,112.38654653701221,113.09042887440476,735730
2016-04-21,115.71826934814453,117.31373325632575,113.27813796820332,116.18752428116983,680310
2016-04-22,113.51275634765625,116.60984152179648,113.18427935288658,116.18751497998711,356433
2016-04-25,113.41891479492188,115.85903899125287,112.62118284846431,114.5451309195637,474276
2016-04-26,114.77975463867188,115.76518566028503,112.24577381110574,112.90273498577625,491740
2016-04-27,116.51599884033203,118.01761316223252,114.35742332992004,115.43671108512603,590038
2016-04-28,114.77975463867188,119.56615332150335,113.65353855077745,116.37521847952846,646281
2016-04-29,115.34286499023438,119.00305493226978,111.87037415896503,115.90596948279472,691811
2016-05-02,117.03218078613281,121.06777618990107,116.51600464117043,119.19075640401114,1233555
2016-05-03,114.21665954589844,118.25225524782618,113.09045045526234,117.68915070250814,430312
2016-05-04,110.88493347167969,114.49819474256913,110.08720157970589,113.55968494959725,268162
2016-05-05,112.43348693847656,113.37199682223593,111.35419914010086,111.44804869642437,234968
2016-05-06,110.83802032470703,113.13737392911227,110.08721668347748,111.68268068631993,197770
2016-05-09,109.94642639160156,112.43347883639657,109.57102103309751,110.74415830325916,266708
2016-05-10,109.57101440429688,111.68266136283792,108.9609816286661,109.80564184413477,215696
2016-05-11,108.96098327636719,109.43023816313902,107.4593690707496,107.92862395752142,190387
2016-05-12,109.61795043945312,110.69723101014486,107.92862989011189,109.47717253363106,294716
2016-05-13,106.84934997558594,109.33640262617367,106.52087294481296,108.91407603807446,299394
2016-05-16,103.70533752441406,107.60015480014353,103.23608260348911,107.60015480014353,334435
2016-05-17,106.56779479980469,108.39788611689427,104.17459185259969,104.31536976012855,604053
2016-05-18,107.22473907470703,108.25709836897583,104.9253930483692,105.67619655317326,185948
2016-05-19,106.2862319946289,108.16325154420294,105.67619920896509,107.22474176941593,140202
2016-05-20,105.11309814453125,106.89626820582114,104.26843788810324,106.52086285182408,101970
2016-05-23,104.78462982177734,106.66164958693139,104.26844652225512,106.0516167312039,96211
2016-05-24,103.56455993652344,105.06617425607705,102.67297844811213,105.06617425607705,124924
2016-05-25,105.1600341796875,105.86391658474496,104.17459594850224,104.22152430627757,137956
2016-05-26,106.05160522460938,106.89626545933554,105.11309544386063,105.11309544386063,149626
2016-05-27,106.80243682861328,108.35097254189196,104.87848853720375,106.28625348401185,264475
2016-05-30,104.92539978027344,107.60015131075315,104.36228816521529,106.99011850128123,282699
2016-05-31,104.83155059814453,106.42702168826622,103.79919116351411,104.78462940036168,199313
2016-06-01,105.53543853759766,108.30404712130539,104.45615784862707,105.11311193411025,400597
2016-06-02,104.92539978027344,105.86390959168818,104.40921651989068,105.11309887845174,151697
2016-06-03,103.42378997802734,106.00469224949616,103.23609085875276,105.58236565099715,445072
2016-06-06,111.58881378173828,112.33961730626902,103.18914699163959,103.98688602932918,1684765
2016-06-07,114.63896179199219,115.2489945317313,110.50951766175145,112.62116449605243,779352
2016-06-08,120.83313751220703,130.73441882876824,117.31372574000683,117.31372574000683,11437342
2016-06-09,118.06453704833984,122.00627538911428,116.89139978498298,119.70692921703946,1492065
2016-06-10,116.46905517578125,119.94154544654687,115.85902242386531,117.40756489864856,781812
2016-06-13,112.62118530273438,114.96745999654134,110.7910939056698,114.02895011901856,711732
2016-06-14,115.24900817871094,117.2198773587162,112.80887693081127,113.46583809765411,1111478
2016-06-15,114.40433502197266,117.73604019459562,113.46582531245731,115.81209958624567,765724
2016-06-16,111.91731262207031,113.04352170887914,111.21343015274913,112.62119509139151,405329
2016-06-17,111.44804382324219,115.43671065481087,111.11956681034185,113.55969096936678,610993
2016-06-20,115.34286499023438,118.72149910585856,109.80565529948973,110.27491023666704,2275498
2016-06-21,114.49819946289062,116.3752191262167,113.55968963122758,116.3752191262167,525699
2016-06-22,114.21665954589844,115.15516950818277,113.13737881748168,114.87362081565513,531894
2016-06-23,113.93508911132812,116.7036901076343,113.55968376599981,116.04673612350581,578152
2016-06-24,110.46260833740234,112.01115104798056,104.64385003371325,109.80565429546591,677951
2016-06-27,111.49496459960938,112.99657881382653,109.57101668872212,109.80564413345172,366460
2016-06-28,114.357421875,116.23444154356056,111.21341536221342,111.82344818654796,577334
