Price,Close,High,Low,Open,Volume
Ticker,DHANUKA.NS,DHANUKA.NS,DHANUKA.NS,DHANUKA.NS,DHANUKA.NS
Date,,,,,
2016-04-18,571.8558959960938,619.0528705749635,565.5722766331148,614.3983377134977,15502
2016-04-20,592.3823852539062,595.6871490996755,577.1620852491445,588.286430352633,9868
2016-04-21,589.7293090820312,598.3401948105377,580.9787646415273,586.4711361036775,5358
2016-04-22,569.0166625976562,586.5642293836806,567.8530293408103,586.5642293836806,16227
2016-04-25,567.1548461914062,575.9984588936112,564.1293997406519,564.1293997406519,7946
2016-04-26,566.5032348632812,572.4610601964465,563.1985275938989,563.2450615631512,4241
2016-04-27,565.7120361328125,571.5302032462032,560.6385830463282,563.2451105495196,4159
2016-04-28,570.9249267578125,576.2311050010713,560.6384216266481,564.036252969776,10991
2016-04-29,559.98681640625,572.2747940678555,552.7722907388635,570.9715021878269,6539
2016-05-02,566.363525390625,571.576578953546,551.0966363851779,552.9584493459387,9920
2016-05-03,565.4326782226562,571.5766389104431,560.8712132630976,560.8712132630976,14880
2016-05-04,557.24072265625,565.3861562047052,552.0276679124528,561.8952561125101,5182
2016-05-05,545.0458374023438,567.8530500690515,539.9723848536942,561.8021569125781,18288
2016-05-06,546.0232543945312,552.0741472893022,539.9258275334065,545.1854725460731,4688
2016-05-09,545.2320556640625,555.7047558491063,540.856782889815,555.7047558491063,5937
2016-05-10,545.557861328125,551.748413623465,535.271353634922,541.8342345202299,5841
2016-05-11,549.6072998046875,553.1447336526231,537.5985814909242,538.0640348082323,9274
2016-05-12,567.6203002929688,572.5075599510877,538.7156616785563,552.6327267352823,8920
2016-05-13,586.564208984375,598.5729265046024,565.9911964460315,565.9911964460315,17158
2016-05-16,581.1184692382812,598.5729687148015,574.3693961073601,589.263902327324,73012
2016-05-17,593.3600463867188,598.5731019972686,578.0931513846093,585.4938721741565,15645
2016-05-18,591.498046875,600.4347270622034,582.8871612543404,597.642007401449,7535
2016-05-19,589.3568725585938,598.5263355209366,585.540178699684,591.079083645583,28161
2016-05-20,587.4486083984375,594.942395290254,583.6784479689428,585.5867951672766,3321
2016-05-23,575.43994140625,587.4486025365911,569.7148430503457,587.4020685698827,6681
2016-05-24,567.8530883789062,585.5403157218558,561.5694681386478,584.5628750480895,35112
2016-05-25,578.0465087890625,581.8166694434492,569.342497323368,575.3003227456826,9153
2016-05-26,585.6333618164062,595.6871992801659,572.5076005314357,590.1948272145207,45374
2016-05-27,594.802978515625,597.87495993956,583.2131761808242,583.2597101624804,14336
2016-05-30,584.7954711914062,597.8746960751441,577.4878211189808,597.595435490407,4290
2016-05-31,594.19775390625,595.6872387638465,578.4654642730234,585.1679472690757,13704
2016-06-01,622.078369140625,633.0165222830153,596.7111629167836,596.7111629167836,61296
2016-06-02,608.766357421875,625.5692094979083,605.0892651393458,625.5692094979083,8871
2016-06-03,610.488525390625,623.7074102246639,609.7438114882909,614.3983444004152,11352
2016-06-06,623.2420043945312,632.9699902852818,612.5365778814064,631.1547109477106,139517
2016-06-07,628.0361328125,631.1546470582168,619.5183150696804,627.4310208218852,19136
2016-06-08,610.7678833007812,630.2238567001273,514.9776148001074,627.4311365079554,31082
2016-06-09,612.7692260742188,626.2673708187325,611.6055929065883,611.6055929065883,137278
2016-06-10,606.7183837890625,619.0528963862317,605.2289559385033,613.5139906865384,6181
2016-06-13,604.4376220703125,606.9045471979547,597.6885494653596,606.7183545211091,5543
2016-06-14,609.1387329101562,614.3053101805631,605.2755044719082,606.4856717318651,3384
2016-06-15,602.25,613.18815189192,599.4572803680204,609.7903202791343,9906
2016-06-16,602.2034912109375,611.1867056451905,595.780213061655,604.996210959664,4573
2016-06-17,598.3867797851562,606.9511322790811,595.7802525438833,602.4827917486085,3896
2016-06-20,603.7860107421875,605.089302736833,586.4246363775569,598.4332976795155,5148
2016-06-21,612.489990234375,629.1997745605618,592.5220329071277,615.0965172716177,229763
2016-06-22,595.0355224609375,617.6565419478713,592.5685971924111,612.5830895087324,134164
2016-06-23,587.6348266601562,605.0427924927449,581.8166600595606,605.0427924927449,18830
2016-06-24,580.0012817382812,590.1481852853454,546.5351817991002,580.0012817382812,36066
2016-06-27,598.6660766601562,603.2275422220746,586.4712216047947,595.687220671513,9692
2016-06-28,596.0130615234375,605.0894025618654,595.6872668800434,600.434868696005,5044
2016-06-29,604.0654296875,609.6508703436284,590.1483620223721,592.5221629376185,12249
2016-06-30,612.489990234375,614.398337342819,597.6420190516512,614.3052694128571,20418
2016-07-01,619.0062866210938,621.8455400736938,606.0666635839676,611.6521025666655,8910
2016-07-04,604.4376220703125,619.0528665232644,599.503828633056,619.0063325585598,13406
2016-07-05,597.08349609375,610.7212432390103,589.356926116499,609.6972687403044,6230
2016-07-07,599.68994140625,605.0891874072025,589.310311848903,605.0426534486984,6178
2016-07-08,598.9918823242188,609.6507745993163,587.9606046699788,609.6507745993163,10164
2016-07-11,610.5816650390625,612.5365461826461,598.5729471055341,598.9918664414536,9123
2016-07-12,612.1641845703125,614.3983832365675,605.1358507923492,605.182384760806,8271
2016-07-13,598.5729370117188,617.1445348347085,595.9664099248847,606.1598484428893,3898
2016-07-14,595.9664916992188,609.6508318053027,591.1257654062999,604.1584594467538,6638
2016-07-15,596.6181640625,600.3883250696331,581.0254758625218,597.6886727436151,4720
2016-07-18,590.9395141601562,604.9962382878509,588.7984402863575,598.8987544399465,5700
2016-07-19,593.127197265625,598.0609911677385,588.3795392398669,588.7984585977327,3284
2016-07-20,610.4420166015625,611.7453085979205,593.1271761815556,593.1737101489904,7979
2016-07-21,600.2485961914062,613.002028652258,595.826789606595,610.4420353663146,5357
2016-07-22,604.1583862304688,609.7438258566364,596.9903940132809,602.2500390551342,7748
2016-07-25,605.9270629882812,614.3982894028381,601.8310516650529,604.158317912791,10157
2016-07-26,607.044189453125,609.7438414018112,603.6929483191979,605.9271469538369,3869
2016-07-27,614.7242431640625,616.3067959860107,602.2966609096036,602.2966609096036,16139
2016-07-28,622.5902709960938,623.6143022618425,610.6746788695609,614.7240995159525,11745
2016-07-29,618.0288696289062,621.8455636847913,614.6310380582088,621.8455636847913,4844
2016-08-01,600.9000854492188,609.7436963117557,596.0593607713844,609.7436963117557,32726
2016-08-02,601.0399169921875,605.0893382982002,596.2457248923034,597.6420849037607,7851
2016-08-03,596.152587890625,600.4347353691473,591.2187376339447,597.6885496344736,4653
2016-08-04,590.846435546875,601.3656688551941,586.564231058636,601.3656688551941,6431
2016-08-05,595.3612670898438,597.6419994795,586.4711209845561,590.8463930920144,102218
2016-08-08,605.0892944335938,605.0892944335938,596.7111349722055,603.2274812199519,3519
2016-08-09,590.846435546875,605.5547485918015,587.5417284516019,596.7111358145193,7602
2016-08-10,594.7095947265625,600.4346924280862,591.1256274292012,591.1256274292012,9179
2016-08-11,595.2216796875,610.3489113509419,591.3118607554973,592.2427673194013,20004
2016-08-12,630.6893310546875,637.67113176747,594.8494207290706,600.3883273248193,71395
2016-08-16,631.2943725585938,637.1125391684088,614.4449279657491,633.9474338054561,14152
2016-08-17,616.6790161132812,628.9669931538361,609.7437513941252,623.7073487542959,17006
2016-08-18,630.6893310546875,636.7402250057658,608.9060901035903,613.4675559631573,15955
2016-08-19,647.3525390625,649.7728737446498,631.2943985580656,636.7401800019204,25506
2016-08-22,660.9902954101562,666.4826677042537,637.6710937821674,646.6543662247074,16799
2016-08-23,673.0921020507812,679.096461843298,652.5656199481177,668.3910344119095,27315
2016-08-24,663.1312866210938,677.6999974809663,651.6346129624676,674.9072777111272,13232
2016-08-25,666.0636596679688,679.5618051119737,660.9436734650703,679.5618051119737,12554
2016-08-26,670.2991943359375,673.976286266882,656.5217899029261,665.5981280121831,13299
2016-08-29,681.2373657226562,684.5886632153706,665.5981478773936,673.8832384593007,66298
2016-08-30,698.5057373046875,701.9035690864956,681.423624099887,681.423624099887,37082
2016-08-31,709.8162841796875,723.3144299116291,695.8526851466444,696.8766596818556,35266
2016-09-01,685.4730834960938,716.425729360051,679.6083830117925,704.2308750701861,16073
2016-09-02,674.6280517578125,691.523973142576,671.835331844493,682.3545654877232,11661
2016-09-06,647.9110107421875,674.9073028564453,644.1873842436692,674.6280422326627,20105
2016-09-07,654.334228515625,663.5501691542237,640.8826176732282,656.2891095188963,19409
2016-09-08,656.335693359375,669.2753179526242,652.1466136185717,664.5276601555622,11462
2016-09-09,646.1422729492188,658.1044573057665,640.4637652000936,645.5837516951524,9353
2016-09-12,624.778076171875,640.4638318854593,608.8130029841429,640.4638318854593,27150
2016-09-14,617.8427124023438,641.3481036954403,605.1823487437596,628.2688775276399,21030
2016-09-15,609.883544921875,622.7765799408197,605.2755454107237,622.7765799408197,207471
2016-09-16,622.7764892578125,646.9800598418232,617.1445159278309,627.3844880979892,21448
2016-09-19,638.2295532226562,651.588097253499,617.5634718012245,628.4084997871505,17238
2016-09-20,661.1298828125,676.6294437084802,635.8092117707612,642.2790240447724,17563
2016-09-21,661.4091186523438,681.2839512146858,646.9800668027852,673.0454507890845,14699
2016-09-22,662.0142211914062,669.3218149416529,652.0535096610752,663.2709223170065,8630
2016-09-23,622.636962890625,665.8310592257766,608.3941008447197,665.551798561747,1487239
2016-09-26,619.70458984375,629.8049046206814,612.3969382960129,625.5692905793242,37563
2016-09-27,623.660888671875,626.7794030578547,617.0980084987644,625.5227018737804,13474
2016-09-28,631.4338989257812,634.8782645103371,620.6354057170389,620.6354057170389,19947
2016-09-29,615.9808349609375,640.4636642511184,603.2274047016348,631.620052608116,40773
2016-09-30,623.102294921875,628.3619398119567,597.6885567197527,609.7438082619728,32112
2016-10-03,634.2265625,635.9021827714382,622.7764243574802,625.4760758300351,27042
2016-10-04,635.0180053710938,636.7401599771517,617.1911199778533,621.8456533110195,13759
2016-10-05,629.6652221679688,639.5328090121238,621.8455843087318,633.9008356675439,13804
2016-10-06,633.9474487304688,639.4398208666544,620.9147552176544,628.3154746831809,17868
2016-10-07,635.8092651367188,637.950339146193,625.7089503430932,637.950339146193,5346
2016-10-10,636.3212890625,641.3947421455463,633.1096494544771,637.6711151954995,12673
2016-10-13,631.0615844726562,637.717532335638,608.8128947949862,633.9473721030361,14093
2016-10-14,630.6427001953125,633.0165007093664,620.9147146663933,625.801974414517,9975
2016-10-17,605.9735717773438,631.1545801682392,603.6928395856979,623.6607945254212,23311
2016-10-18,606.625244140625,619.518276453047,600.8070785090224,614.0724961490764,15576
2016-10-19,615.42236328125,618.1220152921185,600.4347889509284,614.8638420187414,40339
2016-10-20,601.5519409179688,621.9853550264204,597.2697358646731,619.0995100695833,27863
2016-10-21,601.92431640625,608.8595834558224,597.2697823888245,600.3883542713249,17630
2016-10-24,617.0514526367188,622.7765512838056,605.0427908956087,605.9736975492467,18314
2016-10-25,608.5802001953125,618.6339802842637,602.9947604994472,612.117633972421,17765
2016-10-26,620.169921875,622.7764487122838,605.1357591676659,607.8819447072067,12219
2016-10-27,619.797607421875,623.7074265339024,614.5380191844595,618.1219868933003,10590
2016-10-28,646.3750610351562,651.6347067525885,628.3620386542817,628.3620386542817,68779
2016-11-01,654.1015014648438,658.1509221767691,646.9800437239809,651.5415084860798,20095
2016-11-02,651.3087768554688,656.1960361410735,643.256412638643,645.6767468909704,28575
2016-11-03,649.6331176757812,653.4964026121665,643.349498419895,646.0491501607459,14428
2016-11-04,623.4281616210938,654.8927933494739,615.0500022179021,644.2804353782193,32554
2016-11-07,642.8375244140625,646.9800700390693,617.6565129078022,623.7074056491748,12651
2016-11-08,638.3690795898438,648.702118158221,634.924714461045,645.4439456776312,9717
2016-11-09,631.5735473632812,650.7036652130203,539.9257880165261,558.5439186377856,27583
2016-11-10,677.1415405273438,683.0993091776844,635.3438079441692,656.2892082060649,117590
2016-11-11,690.453369140625,699.1107883113687,677.1414174245327,690.4068351787764,64645
2016-11-15,658.8492431640625,699.1109595425092,642.4653073187769,690.9189916198665,28321
2016-11-16,662.3865966796875,670.3924277337165,651.6346365403775,660.9437027766686,13000
2016-11-17,647.8644409179688,667.1807523099553,642.7909887309257,665.1327464855126,11070
2016-11-18,656.5685424804688,660.9438157228054,643.8151081937585,651.6347478957236,4774
2016-11-21,633.20263671875,668.3908923919347,628.454979297574,651.6345747553681,10280
2016-11-22,632.3182983398438,651.6346099932141,625.615759559165,651.6346099932141,5706
2016-11-23,637.9037475585938,651.6346199066263,623.4746952606613,631.2477426423357,12752
2016-11-24,644.7457885742188,656.289051353604,628.780776947706,637.6709222371896,36030
2016-11-25,659.0819091796875,660.4782691567631,639.532869500629,642.4186573927054,14294
2016-11-28,662.2935180664062,665.5982251634017,645.2113477074084,659.0818789030607,10363
2016-11-29,653.868896484375,664.0157455426889,651.6346976509286,654.5204857275967,11765
2016-11-30,669.787353515625,670.2528068537179,651.6346733300035,651.6346733300035,10772
2016-12-01,659.9197387695312,674.8142449857495,654.9858881309833,674.8142449857495,16283
2016-12-02,657.6389770507812,669.3218434837272,649.6331462228841,656.3356850873007,7965
2016-12-05,646.84033203125,659.5937619171121,644.1872713432443,647.4919779178894,21412
2016-12-06,657.4527587890625,659.0818452710178,647.3058545456735,651.5415248531789,7865
2016-12-07,653.6826782226562,660.9437389204287,647.9575794470472,660.9437389204287,10271
2016-12-08,652.3328247070312,660.0128044484982,650.5175454045326,653.4964580011929,8183
2016-12-09,653.2637939453125,665.5983080454556,650.0056204094257,657.9648615406275,16805
2016-12-12,652.7516479492188,659.0818007738374,648.0505814965694,651.6345487876923,6999
2016-12-13,660.1058349609375,664.2018466513811,650.8898938844826,652.751707049588,11522
2016-12-14,652.6586303710938,665.5982555488367,650.8899418247908,665.5982555488367,16053
2016-12-15,653.3102416992188,660.9436871966452,648.8419013747348,652.658595714433,14366
2016-12-16,653.8223266601562,660.9437859543444,646.980184842633,646.980184842633,13192
2016-12-19,667.9254150390625,670.252681293554,651.634551257622,654.4272707630118,20486
2016-12-20,668.9961547851562,670.252856163247,659.0819752271929,670.252856163247,9875
2016-12-21,670.3458862304688,674.8142838068202,662.619372049917,662.619372049917,5152
2016-12-22,666.1567993164062,673.0455314946023,663.7364646689508,672.0215568709946,7007
2016-12-23,664.3414916992188,667.8323913119771,657.2665677265452,661.8745665789918,11261
2016-12-26,663.9691772460938,670.2527972200315,653.5430112590643,661.8746372547812,7205
2016-12-27,666.9480590820312,669.0891329438454,651.6346338235711,665.5982331197905,261757
2016-12-28,676.7691650390625,686.9160707084029,672.1146315793716,677.7000717310007,27099
2016-12-29,684.0767211914062,687.8003477487641,674.9538474894857,687.8003477487641,10098
2016-12-30,683.843994140625,692.8737999006622,674.9538471036218,679.6083802976583,18557
2017-01-02,694.8753051757812,697.0629131545203,680.2135249124793,685.1473189708089,11586
2017-01-03,707.1632080078125,721.40606735413,697.2955641441073,699.9486819946161,57798
2017-01-04,711.2592163085938,715.8672156009712,705.1152551307791,705.1152551307791,20508
2017-01-05,722.4766235351562,725.1762755294236,710.7472225503401,712.1435825160578,21321
2017-01-06,721.8714599609375,724.2452601827646,717.2634614020825,718.6598211582188,15242
2017-01-09,731.78564453125,738.9536366070936,718.3340898179022,726.1071370838316,33468
2017-01-10,732.3907470703125,742.8634460274667,728.1085995572653,742.8634460274667,25181
2017-01-11,731.878662109375,737.0917155004272,729.784122597574,735.4160952545905,55195
2017-01-12,716.2860717773438,719.9631640931026,701.670827262142,714.4707926019157,19764
2017-01-13,715.0758666992188,721.9180069000753,703.2998764835678,716.844554997972,12920
2017-01-16,718.9390258789062,721.4059506502584,711.0263212090094,714.9361395859742,11023
2017-01-17,726.5725708007812,732.9958487983642,710.747159265082,718.9391256376032,7772
2017-01-18,704.6497802734375,726.0140986539942,698.179967874197,719.5908202223391,15383
2017-01-19,693.4789428710938,712.1436104479864,689.3363967800443,712.1436104479864,15583
2017-01-20,680.9116821289062,702.6483297309975,676.3502168058219,689.8483632629916,15897
2017-01-23,688.1726684570312,695.1544675959257,674.9072500931318,674.9072500931318,15610
2017-01-24,686.4970092773438,693.5253419835047,680.0271977435573,693.5253419835047,11360
2017-01-25,678.8636474609375,696.4112143869836,674.9072943560914,696.3181464529054,24532
2017-01-27,696.1318359375,705.6270931455429,671.9748020578974,684.5886299821321,18110
2017-01-30,679.980712890625,704.6962708685793,672.114541039781,704.6962708685793,22307
2017-01-31,639.9517211914062,693.5719159143101,628.3619232435312,680.4926902089205,142021
2017-02-01,670.8577880859375,693.0598852557735,642.3254812981647,658.8490715779363,31760
2017-02-02,679.7015380859375,686.4971455158916,666.5291857794234,669.2288378903809,12910
2017-02-03,703.9981079101562,707.0235543243156,680.399648606925,693.5254087842201,19106
2017-02-06,705.9530029296875,714.7035477656552,693.5719564160116,704.6963017370251,17663
2017-02-07,690.3602905273438,711.6780737366603,680.5857715289985,700.0417415957731,59652
2017-02-08,705.9994506835938,709.3506910637741,697.7143608297883,698.1798140391478,13961
2017-02-09,725.4555053710938,735.4162174007607,708.4199258759227,712.0504843599232,39903
2017-02-10,725.1298217773438,737.6970628590376,718.1014872026709,733.0890630988088,24630
2017-02-13,719.8700561523438,730.7616746411747,707.4890098436852,730.7616746411747,13813
2017-02-14,714.0984497070312,723.2679140591945,702.8345022654858,716.7981016482437,15380
2017-02-15,703.7188110351562,720.5216627366631,698.3195644609415,711.4918579253246,13794
2017-02-16,711.9573974609375,716.8911913624592,699.1108970021347,701.0192442788135,18495
2017-02-17,705.627197265625,716.7980763780096,696.3181313386378,708.4664510097501,14345
2017-02-20,720.9871826171875,723.9660951872173,689.8018106124415,698.1799702555077,9502
2017-02-21,721.1734008789062,725.7814002095979,711.8643342787345,725.7814002095979,7001
2017-02-22,715.355224609375,721.4526517866752,712.1435853120084,712.1435853120084,7051
2017-02-23,722.9887084960938,733.461408830736,708.4199959700215,720.4752490521724,8834
2017-02-27,720.5682373046875,735.1369482195599,709.257756284957,730.7151419006215,32070
2017-02-28,723.3610229492188,728.8999290482498,714.9363288749116,714.9363288749116,27453
2017-03-01,728.108642578125,733.5544236304021,718.6599175668406,726.1071705986213,14932
2017-03-02,730.8547973632812,735.4162627327611,721.4526628074556,725.1762894542037,12618
2017-03-03,728.108642578125,735.4162368883473,721.545705389443,723.8729719618746,12955
2017-03-06,732.1580810546875,740.3035142514179,719.1253879399187,726.8053678111218,14244
2017-03-07,726.2933349609375,744.6787401660738,721.6853359636393,740.210399884887,11396
2017-03-08,731.7390747070312,735.3696329417483,720.1027429522028,734.4852603647761,12969
2017-03-09,733.694091796875,735.3231784185484,719.5442994907337,733.5544330735187,15505
2017-03-10,737.0917358398438,740.0706479246544,722.4299588526573,722.4299588526573,17775
2017-03-14,739.8380126953125,743.7943657043784,701.5311837744398,743.7943657043784,23315
2017-03-15,740.3966064453125,743.3289852194158,729.6446456369918,739.8846191340657,25849
2017-03-16,739.65185546875,744.7253079930591,727.5035352457196,741.9325880880851,19475
2017-03-17,742.1187133789062,760.2713911125971,733.0889084759777,735.4627088160089,30440
2017-03-20,759.43359375,767.9979458430068,735.4162148072429,748.3558392886582,51629
2017-03-21,759.2474975585938,766.136230008853,734.8111961761729,759.4336902660673,56452
2017-03-22,737.3245239257812,753.1034013624314,728.8998309848996,753.1034013624314,28617
2017-03-23,749.0075073242188,753.1035195272301,726.1537592262765,740.0708257406031,20196
2017-03-24,756.1288452148438,763.3433709771275,736.3470810279365,740.5826944667042,22905
2017-03-27,763.1107177734375,765.2052577124314,740.8154923925407,761.9470844739965,25453
2017-03-28,746.4010009765625,763.1107880591848,744.725380234642,763.1107880591848,22601
2017-03-29,741.9791259765625,752.1725650471822,736.8126054886691,745.7027525362021,17337
2017-03-30,738.208984375,746.400951652629,712.6090511211381,737.2780777112232,42449
2017-03-31,740.303466796875,744.7252731059416,731.7856487585141,735.4162071921173,29914
2017-04-03,740.5827026367188,753.8481211201637,726.107116988565,735.4161825909825,22978
2017-04-05,737.138427734375,744.6322719211581,726.2933990634635,743.3755138193213,27679
2017-04-06,734.578369140625,739.3260268514223,727.9689550635512,737.1383622690454,13370
2017-04-07,723.5006713867188,734.5784266091706,711.3057599846494,734.5784266091706,26383
2017-04-10,732.20458984375,740.0707621382597,712.0970295996588,731.6460685995373,29197
2017-04-11,751.753662109375,763.203802666662,725.0366295970165,732.2046222444346,133899
2017-04-12,759.2939453125,762.4124595075732,737.9296287648913,758.595765404526,25546
2017-04-13,762.505615234375,767.4394659399262,748.448947529138,759.2940327423144,21271
2017-04-17,757.4323120117188,762.5522992188285,746.5872254730797,746.5872254730797,25685
2017-04-18,770.6975708007812,780.9840770192665,746.5870679490316,758.6888533397266,31651
2017-04-19,772.6060180664062,774.6074333573683,765.2052985236471,771.7681793189108,20981
2017-04-20,799.7883911132812,865.2776446660681,766.2291642815472,771.7215356946429,26910
2017-04-21,814.9622802734375,824.3178812264033,781.9616264598292,800.1143070740752,20816
2017-04-24,834.37158203125,846.1475733587577,812.5418106931829,814.9622019666706,18130
2017-04-25,827.6691284179688,839.5381889028423,814.5899005805976,834.4182020270144,26916
2017-04-26,814.5897827148438,836.885006429948,806.6305429049498,827.5759407299486,19375
2017-04-27,808.8182373046875,825.7142160882734,795.0408299556602,814.5898700208843,20321
2017-04-28,841.4930419921875,850.8486420648525,800.6262190607663,805.2342181467149,26399
2017-05-02,853.1759033203125,865.5569498008529,834.0923179214402,839.5846896171082,33430
2017-05-03,835.20947265625,856.4341332916092,833.1614666260764,844.0065520194282,22923
2017-05-04,834.9766845703125,861.088603284691,824.1315999747043,849.8711901406423,20447
2017-05-05,822.7817993164062,840.2828893535321,809.0043926042695,833.2079648994938,39117
2017-05-08,832.8355712890625,837.4901040592064,815.0552220162965,822.9213937614451,18642
2017-05-09,834.8836059570312,842.423983909525,826.6451048353783,832.2305447329146,12878
2017-05-10,836.5592651367188,841.493058908338,828.5069000661664,837.8159663590446,18442
2017-05-11,836.3265991210938,839.2123871539206,826.1796933988959,836.4662010347904,15569
2017-05-12,847.7300415039062,850.8485556052276,830.5548049204803,836.3264366831579,26360
2017-05-15,841.9585571289062,856.4341446227822,834.9767570368726,856.4341446227822,46894
2017-05-16,836.0472412109375,845.17017185253,829.344758772752,837.8159865764788,20112
2017-05-17,842.3773803710938,847.031913234636,823.4799314906896,823.4799314906896,32625
2017-05-18,818.5927124023438,843.2152038298343,810.8196648636417,833.1614237117789,21233
2017-05-19,774.560791015625,837.7693690959394,719.8700306769678,819.1977718811644,181226
2017-05-22,739.2796630859375,778.23809020952,723.2680546510327,763.3435813059886,157638
2017-05-23,728.2947387695312,763.2503262373785,717.2635185444369,763.2503262373785,25117
2017-05-24,714.5639038085938,737.4642409124152,707.4890361740656,718.6599156926036,22029
2017-05-25,732.5770263671875,734.9508270478769,712.6090666309688,714.9363333410633,19709
2017-05-26,732.1115112304688,743.7943777654311,716.6584274889547,731.6460579277369,30966
2017-05-29,750.496826171875,770.7905763597715,716.8910676769696,731.6925036458701,17263
2017-05-30,785.3128051757812,800.1607771902324,746.3543856937235,767.9979646988737,25132
2017-05-31,813.8916625976562,819.1513078318817,772.65250987973,775.2590371036697,42813
2017-06-01,826.691650390625,830.3687430716454,804.3964244568772,804.3964244568772,27115
2017-06-02,823.2472534179688,830.2756439110054,817.3360190597266,819.197832314988,16063
2017-06-05,840.8413696289062,847.124989053202,814.6829174194199,819.1977916118876,24538
2017-06-06,834.8370971679688,845.2167293511673,823.8524097351076,841.0741832719432,19639
2017-06-07,831.9048461914062,841.9586278042582,828.5070138008499,834.8371683853834,18769
2017-06-08,845.0770263671875,850.8486588300788,824.0385592808774,831.9047316588318,16227
2017-06-09,855.5497436523438,857.3650229799143,834.557810099341,837.8625173367972,12709
2017-06-12,824.410888671875,856.8064848452345,807.4218426770315,856.4340994660802,39116
2017-06-13,833.8594970703125,840.1431159430165,810.8195612037312,819.1977197006698,11325
2017-06-14,836.2799072265625,849.3591901895852,830.5548658242916,847.1249916601929,11179
2017-06-15,835.6748046875,837.8158783463356,822.9679078053704,829.5307874888116,18723
2017-06-16,835.53515625,842.8893406664172,831.1598841345882,833.3010146377655,20291
2017-06-19,828.4138793945312,844.3323609363489,822.4095199294475,844.3323609363489,17688
2017-06-20,804.1636962890625,833.161461503232,792.2946363626198,832.4632815075588,44516
2017-06-21,812.0763549804688,827.5759726968856,792.3877143552697,804.1636488298236,28675
2017-06-22,797.6472778320312,812.681441778863,793.5978569490043,812.1229205598346,24814
2017-06-23,805.6996459960938,814.0778052265557,780.9840876298366,800.5796597997003,23051
2017-06-27,813.100341796875,817.3359552583556,783.4975247126265,800.5796372690044,16363
2017-06-28,788.8036499023438,814.4501710526931,781.9615094221111,796.8560143634847,25775
2017-06-29,789.5484008789062,796.8559944559945,783.0785890930241,796.8559944559945,19617
2017-06-30,781.8218994140625,787.5469978347544,767.9979588814094,787.5469978347544,33471
2017-07-03,778.703369140625,794.0633280059212,772.6524762542962,790.153508931149,26322
2017-07-04,778.0982055664062,786.6160230999653,773.5833315929837,777.2604237746301,16158
2017-07-05,760.5507202148438,782.9390134059093,757.758000311974,781.9615728035113,34903
2017-07-06,761.5745849609375,777.306927538935,759.6197040380491,765.2051430383289,7190
2017-07-07,759.480224609375,766.1362303830526,757.7580699049876,761.4816967841276,6662
2017-07-10,765.9964599609375,777.306997684395,762.8779456315709,771.2561048880494,4554
2017-07-11,767.16015625,777.3070615774459,762.4590889777191,762.4590889777191,7043
2017-07-12,758.4096069335938,770.7906531630663,756.9201223052632,767.997933405229,8820
2017-07-13,753.6154174804688,767.9979356387641,751.2416170430092,766.461917040275,20155
2017-07-14,743.37548828125,754.0809146739816,740.0707810627523,753.6154613525586,16635
2017-07-17,743.7478637695312,749.3333035522905,733.6940835241709,744.7253043679078,15431
2017-07-18,750.2642211914062,753.103475092363,741.5136760094737,743.7478746825725,15836
2017-07-19,750.12451171875,758.5957956979382,744.7252649117455,745.1907182023155,10704
2017-07-20,765.01904296875,767.9979554930565,747.5180100132417,750.1245371652483,9419
2017-07-21,762.8778686523438,767.9978543479971,755.8960699764528,767.0669478578783,4877
2017-07-24,754.1741333007812,765.8570017590561,749.0075553354773,756.0359468182128,11732
2017-07-25,752.6845092773438,758.3630735467646,740.2103951069668,754.1739939068112,23719
2017-07-26,728.992919921875,758.4096019346831,719.6838541237767,752.731037707026,34472
2017-07-27,712.0969848632812,737.2314619983766,707.4889860249083,730.7616500388855,34492
2017-07-28,698.459228515625,711.2126606260598,694.9217947085781,700.9726877636427,32113
2017-07-31,697.5748291015625,714.936259697736,690.7326884058856,714.936259697736,27221
2017-08-01,705.7202758789062,715.8671806201095,688.8708890232523,690.2672489334346,22452
2017-08-02,707.9080200195312,712.1436341926252,694.4564066767299,699.2040081774661,16189
2017-08-03,707.0700073242188,721.1732632594069,702.8343941930177,709.3507395696416,14975
2017-08-04,683.843994140625,713.4468707091227,679.6549142659923,713.4468707091227,35588
2017-08-07,704.0612182617188,712.6791435809216,676.1111901994391,695.955698750762,30052
2017-08-08,712.912109375,723.9057764605784,690.3657404855709,704.0612665482619,14768
