Price,Close,High,Low,Open,Volume
Ticker,IMPAL.NS,IMPAL.NS,IMPAL.NS,IMPAL.NS,IMPAL.NS
Date,,,,,
2016-04-18,372.543212890625,376.7262835854629,372.3215962744954,372.87563781481947,178
2016-04-20,371.3519592285156,374.5377292907171,371.21342984327765,372.32153811322144,1623
2016-04-21,371.2135009765625,373.706726039903,371.2135009765625,372.044575997676,955
2016-04-22,371.65679931640625,373.3743410170315,371.2135406586711,371.79530338059874,390
2016-04-25,373.9560241699219,385.6187689680795,371.7675285368632,371.7675285368632,568
2016-04-26,371.43511962890625,377.72359915879093,371.2135030037187,371.57364904144623,594
2016-04-27,371.2135009765625,384.3721972649918,371.2135009765625,371.5459512749254,181
2016-04-28,371.7676086425781,373.42975886696763,371.7676086425781,373.42975886696763,120
2016-04-29,377.30804443359375,379.38573190294176,371.79524870575017,375.0918529204212,34
2016-05-02,372.18310546875,382.266814035707,366.36558032002876,371.2412221354978,373
2016-05-03,377.7236022949219,387.724198423326,371.24122718597454,371.24122718597454,148
2016-05-04,373.9837951660156,373.9837951660156,371.7952990925374,372.40475754779453,121
2016-05-05,376.1445007324219,386.72685772595366,372.321551161411,386.72685772595366,172
2016-05-06,371.7952880859375,373.98378409462765,371.268942228779,373.98378409462765,226
2016-05-09,371.82293701171875,373.98373700913953,371.76754554025416,373.98373700913953,357
2016-05-10,371.54595947265625,387.8350099559623,371.26892600537366,387.8073142179532,493
2016-05-11,372.6817321777344,378.69317824510307,371.6013447893157,373.9837615537438,717
2016-05-12,374.0114440917969,374.0114440917969,374.0114440917969,374.0114440917969,28
2016-05-13,371.3797302246094,373.9837636286789,371.2412261736941,373.9837636286789,268
2016-05-16,371.3797302246094,371.3797302246094,371.3797302246094,371.3797302246094,0
2016-05-17,371.2411804199219,377.7235547122706,371.2134593232376,377.7235547122706,3123
2016-05-18,371.3797302246094,372.0445801038793,371.2135050735933,371.324313386805,73
2016-05-19,375.89520263671875,376.92019849187153,371.57362796588563,371.57362796588563,60
2016-05-20,371.2411804199219,371.87833448296186,371.2134593232376,371.684413618142,271
2016-05-23,371.2135009765625,375.53510123131144,371.2135009765625,371.4628387003347,915
2016-05-24,371.2135009765625,372.044575997676,371.2135009765625,371.2689178137553,735
2016-05-25,371.7952880859375,373.7067506152395,371.21352538794196,371.8229838251567,1066
2016-05-26,371.7952880859375,376.6432344820377,371.3797505480546,372.32163394309595,163
2016-05-27,376.8370361328125,390.6051882935527,374.53773237770133,376.75394893585536,247
2016-05-30,376.8370361328125,381.15863559505976,372.9033037349933,381.15863559505976,301
2016-05-31,373.3743591308594,376.144618085902,371.4905921718947,371.5182879135969,358
2016-06-01,374.2608337402344,378.41620929855526,371.4905749138872,371.5182706543028,534
2016-06-02,378.4161682128906,378.4161682128906,374.5378012046095,376.72629707022094,237
2016-06-03,374.7317199707031,382.2945076954179,373.9837575281262,378.4161660714807,280
2016-06-06,382.2944641113281,385.009305474814,379.4965101831653,385.009305474814,640
2016-06-07,378.6654357910156,385.064722844182,371.3242655157791,371.3242655157791,807
2016-06-08,377.0032958984375,382.29447473964586,373.983725288784,382.23905790752264,405
2016-06-09,374.0114440917969,382.26680258210126,373.01416931362064,382.26680258210126,732
2016-06-10,379.5519714355469,381.740467295407,370.6594585846339,373.98375866162615,6753
2016-06-13,388.0843811035156,395.5917528430427,372.8756913545051,378.9702506227468,1287
2016-06-14,397.0045166015625,399.47002037178686,387.8349709885077,388.08430869272917,1111
2016-06-15,438.2812194824219,450.9967072911079,396.6997999948154,396.6997999948154,10021
2016-06-16,429.0009765625,436.4252609789425,414.4848580593775,434.9292852198097,3040
2016-06-17,429.3887634277344,436.5636838163534,412.49023011057807,412.49023011057807,1447
2016-06-20,430.6354064941406,434.37524422936696,415.53752613625807,434.37524422936696,726
2016-06-21,429.9981689453125,434.9014803679339,418.3077036413821,418.418511936036,1108
2016-06-22,423.8482360839844,437.14543564740353,418.86178624770224,418.86178624770224,637
2016-06-23,428.2806396484375,428.2806396484375,416.6733105698273,423.2942149344948,336
2016-06-24,416.0361633300781,426.06448048543,401.68627125445073,411.1051046463314,2335
2016-06-27,415.4543762207031,423.820542830812,406.1186305908806,415.5374887909404,1941
2016-06-28,415.980712890625,426.5907664900229,412.76722135697395,415.45436710719554,3226
2016-06-29,421.2165222167969,429.2779345235245,411.16050961417307,421.4658345725857,1132
2016-06-30,430.9954833984375,434.37522566475025,415.81454183645695,415.81454183645695,951
2016-07-01,420.3576965332031,433.9873459048148,415.5651677377553,423.84822144298556,1566
2016-07-04,431.66033935546875,451.5506955014742,426.6184475770102,451.5506955014742,1749
2016-07-05,419.8037414550781,432.15905985720696,415.6760616200585,432.15905985720696,2608
2016-07-07,426.56304931640625,431.0231784273212,416.70095860359606,421.07794978788024,1896
2016-07-08,421.6043701171875,436.037400791976,419.4158741379497,436.037400791976,2119
2016-07-11,414.45709228515625,426.6184621345181,410.6064466651419,426.6184621345181,3885
2016-07-12,414.429443359375,415.53755195204695,407.226800913006,415.53755195204695,180
2016-07-13,415.5375061035156,424.4022977795918,413.8753560791016,424.4022977795918,39
2016-07-14,422.2137451171875,426.39681535237054,407.78074265674405,407.8084637525111,978
2016-07-15,412.57330322265625,421.0502780092502,410.5510326439328,420.5239322223279,984
2016-07-18,413.6814270019531,421.0779893916331,407.2267479166281,421.0779893916331,402
2016-07-19,409.99700927734375,415.6483091437322,409.99700927734375,413.9030465677488,1177
