Price,Close,High,Low,Open,Volume
Ticker,JARO.NS,JARO.NS,JARO.NS,JARO.NS,JARO.NS
Date,,,,,
2025-09-30,744.25,890.0,717.5499877929688,890.0,4394427
2025-10-01,787.2000122070312,795.0,750.0,750.0,945244
2025-10-03,762.6500244140625,790.0,755.0,790.0,216415
2025-10-06,735.5999755859375,768.4500122070312,727.0499877929688,762.0,229786
2025-10-07,699.8499755859375,750.2999877929688,688.2999877929688,735.5999755859375,328163
2025-10-08,678.3499755859375,703.9500122070312,675.5,696.0,229406
2025-10-09,706.5499877929688,709.7000122070312,676.0499877929688,679.5,249090
2025-10-10,718.0,731.0,699.6500244140625,709.9000244140625,170407
2025-10-13,694.6500244140625,714.2000122070312,690.0,711.0,90189
2025-10-14,669.5,697.0,665.0,695.0499877929688,113235
2025-10-15,702.0499877929688,709.2000122070312,666.5,668.0,193291
2025-10-16,696.2999877929688,717.5999755859375,692.0,703.0,96315
2025-10-17,646.5999755859375,699.7000122070312,644.2000122070312,699.0,231416
2025-10-20,662.25,667.9000244140625,640.0,646.5999755859375,140152
2025-10-21,674.0,679.0,665.5499877929688,665.5499877929688,32106
2025-10-23,669.9500122070312,685.0,666.0,685.0,64817
2025-10-24,666.2999877929688,684.0,663.25,677.0,42185
2025-10-27,626.6500244140625,661.25,624.0499877929688,660.0,231779
2025-10-28,604.5499877929688,629.7000122070312,601.0999755859375,629.0,211122
2025-10-29,604.0999755859375,610.9000244140625,595.5999755859375,605.0,238585
2025-10-30,608.0499877929688,616.4500122070312,603.1500244140625,609.9500122070312,117455
2025-10-31,629.7999877929688,646.0,605.4000244140625,608.0499877929688,385194
2025-11-03,630.8499755859375,638.0999755859375,615.6500244140625,633.6500244140625,133251
2025-11-04,621.5,632.25,618.4000244140625,630.0,34178
2025-11-06,638.3499755859375,641.25,618.4000244140625,618.4000244140625,103297
2025-11-07,625.8499755859375,635.0,620.0,635.0,37230
2025-11-10,616.8499755859375,628.0,612.0,628.0,47623
2025-11-11,640.2999877929688,643.7999877929688,611.5999755859375,615.5,89246
2025-11-12,629.2000122070312,644.5999755859375,625.1500244140625,637.0999755859375,81364
2025-11-13,619.2999877929688,632.75,617.4000244140625,626.1500244140625,85752
2025-11-14,627.0999755859375,629.75,612.0,612.0,95859
2025-11-17,708.2999877929688,736.0,625.5499877929688,631.0,4457261
2025-11-18,688.0,714.7000122070312,685.0499877929688,700.0,431635
2025-11-19,668.8499755859375,698.5499877929688,663.0,688.0,140954
2025-11-20,674.25,712.0,662.0,677.7000122070312,377168
2025-11-21,660.2999877929688,675.0,657.5,674.7999877929688,73967
2025-11-24,637.8499755859375,666.8499755859375,634.2999877929688,666.8499755859375,61120
2025-11-25,660.4500122070312,668.0499877929688,635.0499877929688,635.0499877929688,97293
2025-11-26,661.5499877929688,669.0,651.0,661.0,51681
2025-11-27,659.3499755859375,678.5999755859375,655.0,665.0,63550
2025-11-28,655.7999877929688,665.0,641.5,659.0,54437
2025-12-01,638.5,660.0,633.0499877929688,660.0,53393
2025-12-02,624.7999877929688,639.5,623.0,639.5,38417
2025-12-03,606.75,630.0499877929688,605.0,629.9000244140625,54341
2025-12-04,572.5,607.7000122070312,570.0999755859375,605.0499877929688,141799
2025-12-05,555.7000122070312,581.5999755859375,555.0,572.75,83964
2025-12-08,541.8499755859375,558.0,540.0999755859375,550.2000122070312,57504
2025-12-09,555.0999755859375,564.9000244140625,525.4500122070312,544.5499877929688,154579
2025-12-10,541.25,564.7000122070312,539.2000122070312,558.0,102553
2025-12-11,536.4500122070312,545.4000244140625,533.0999755859375,536.0999755859375,122201
2025-12-12,557.3499755859375,566.0,531.0,538.0,138729
2025-12-15,554.0999755859375,560.0499877929688,545.25,557.3499755859375,109085
2025-12-16,547.2999877929688,556.0,544.5,552.1500244140625,102534
2025-12-17,550.9000244140625,594.9500122070312,544.75,547.5499877929688,542087
2025-12-18,545.0,555.0,543.0499877929688,554.0,92461
2025-12-19,544.9000244140625,552.0,541.7999877929688,545.9500122070312,115666
2025-12-22,545.5499877929688,553.6500244140625,543.8499755859375,553.0499877929688,107140
2025-12-23,542.4500122070312,550.25,540.0499877929688,546.0,104568
2025-12-24,539.9500122070312,547.0999755859375,538.0,543.0,105694
2025-12-26,502.6499938964844,536.0499877929688,500.04998779296875,535.0,303846
2025-12-29,488.79998779296875,503.95001220703125,483.25,502.0,182297
2025-12-30,465.79998779296875,493.5,463.1000061035156,488.70001220703125,139516
2025-12-31,465.8500061035156,478.5,461.04998779296875,470.8999938964844,154785
2026-01-01,462.3500061035156,475.8999938964844,460.79998779296875,465.8500061035156,111535
2026-01-02,465.8999938964844,472.70001220703125,456.3500061035156,466.0,146502
2026-01-05,452.5,472.3500061035156,451.0,471.0,135781
2026-01-06,443.54998779296875,461.54998779296875,441.3999938964844,456.79998779296875,119521
2026-01-07,438.0,452.6000061035156,435.0,445.75,157416
2026-01-08,429.5,441.45001220703125,425.0,438.0,107141
2026-01-09,412.0,431.6499938964844,407.6000061035156,431.6499938964844,161429
2026-01-12,387.29998779296875,410.0,386.0,410.0,233593
2026-01-13,422.1499938964844,435.0,388.0,388.0,1923015
2026-01-14,471.70001220703125,480.0,419.75,422.8999938964844,3176652
2026-01-16,499.04998779296875,504.5,462.29998779296875,469.0,1547114
2026-01-19,461.5,486.8999938964844,457.6000061035156,485.0,368644
2026-01-20,468.1499938964844,491.5,445.95001220703125,457.25,1257071
2026-01-21,486.6499938964844,490.8999938964844,459.70001220703125,470.20001220703125,593948
2026-01-22,528.9000244140625,542.5499877929688,487.3500061035156,493.0,785593
2026-01-23,504.1499938964844,532.7999877929688,492.75,530.5499877929688,366684
2026-01-27,496.3500061035156,509.45001220703125,485.1499938964844,502.29998779296875,275989
2026-01-28,496.6499938964844,500.0,485.54998779296875,496.25,143908
2026-01-29,495.6000061035156,533.0,485.54998779296875,493.1499938964844,822289
2026-01-30,504.8500061035156,510.25,488.1000061035156,496.45001220703125,245499
2026-02-02,494.3500061035156,497.5,486.0,492.5,104656
2026-02-03,487.6000061035156,510.0,481.20001220703125,502.8999938964844,183520
2026-02-04,480.29998779296875,488.45001220703125,478.0,488.45001220703125,124652
2026-02-05,483.6499938964844,502.79998779296875,474.5,480.29998779296875,198966
2026-02-06,478.79998779296875,486.3999938964844,473.75,483.6499938964844,114131
2026-02-09,502.54998779296875,507.6499938964844,480.1499938964844,485.0,183558
2026-02-10,493.0,518.0,489.1499938964844,509.79998779296875,145895
2026-02-11,484.1499938964844,499.04998779296875,482.04998779296875,498.8999938964844,125197
2026-02-12,477.3999938964844,488.75,475.75,488.0,239986
2026-02-13,474.04998779296875,485.8999938964844,465.3999938964844,478.79998779296875,88019
2026-02-16,454.3999938964844,470.0,453.1499938964844,468.0,116544
2026-02-17,447.5,456.0,445.0,454.3999938964844,106677
2026-02-18,445.8500061035156,464.45001220703125,443.95001220703125,447.5,258085
2026-02-19,447.25,472.0,444.29998779296875,449.6000061035156,260458
2026-02-20,447.6000061035156,458.0,444.0,446.1000061035156,168963
2026-02-23,443.0,449.79998779296875,437.3999938964844,449.79998779296875,119131
2026-02-24,437.3500061035156,444.8999938964844,427.45001220703125,440.0,131459
2026-02-25,451.3500061035156,472.75,434.79998779296875,440.0,314418
2026-02-26,442.5,452.8999938964844,440.20001220703125,451.3500061035156,104057
2026-02-27,443.70001220703125,446.79998779296875,438.20001220703125,443.0,63134
2026-03-02,439.5,441.75,426.79998779296875,433.5,79708
2026-03-04,423.3500061035156,435.75,419.8999938964844,430.54998779296875,86829
2026-03-05,422.1000061035156,429.0,418.75,429.0,105533
2026-03-06,444.3500061035156,447.8999938964844,411.20001220703125,422.0,377709
2026-03-09,415.1499938964844,438.8500061035156,412.6499938964844,435.04998779296875,111396
2026-03-10,414.3500061035156,419.70001220703125,413.0,419.6499938964844,110479
2026-03-11,411.79998779296875,420.6499938964844,409.5,418.25,80860
2026-03-12,405.45001220703125,411.79998779296875,400.79998779296875,411.79998779296875,141965
2026-03-13,429.04998779296875,434.75,400.1499938964844,400.20001220703125,447626
2026-03-16,462.5,472.5,428.0,429.54998779296875,1248150
2026-03-17,471.3500061035156,494.70001220703125,466.5,481.0,856648
2026-03-18,486.79998779296875,508.8999938964844,478.54998779296875,481.25,564556
2026-03-19,470.54998779296875,477.75,466.5,476.54998779296875,88078
2026-03-20,486.1499938964844,497.75,468.0,479.5,466587
2026-03-23,457.5,478.0,444.6000061035156,478.0,207515
2026-03-24,472.1000061035156,475.3500061035156,457.0,467.5,118606
2026-03-25,468.6499938964844,486.1000061035156,461.54998779296875,473.04998779296875,140655
2026-03-27,428.3999938964844,462.79998779296875,422.1499938964844,461.54998779296875,231235
