Price,Close,High,Low,Open,Volume
Ticker,ORIENTCEM.NS,ORIENTCEM.NS,ORIENTCEM.NS,ORIENTCEM.NS,ORIENTCEM.NS
Date,,,,,
2016-04-18,140.92857360839844,143.94749417817823,140.05949400959364,143.94749417817823,57713
2016-04-20,140.0595245361328,142.48380193893257,139.23617476904963,140.0595245361328,350076
2016-04-21,141.88912963867188,144.86230599701395,140.10521265638764,140.88281821067045,116198
2016-04-22,139.96800231933594,141.98061132557186,139.2361406918594,141.29449366714374,26073
2016-04-25,139.73927307128906,142.52948720757612,138.641487793154,142.52948720757612,11722
2016-04-26,140.10520935058594,141.751894394326,138.229832397622,138.229832397622,14608
2016-04-27,137.90963745117188,142.48375477956895,137.40648175322855,142.48375477956895,25485
2016-04-28,135.5768280029297,139.05315978948636,135.39386611081568,138.1383363698187,36811
2016-04-29,135.0736846923828,137.63519329370385,134.5705429327956,135.85129025390668,10588
2016-05-02,135.75982666015625,137.86392388702188,134.47907910942135,137.86392388702188,10614
2016-05-03,135.8055419921875,139.46483589003884,135.21091231742605,138.04685671280174,49133
2016-05-04,132.51219177246094,140.83707738608175,130.1336450490841,136.308703777248,45972
2016-05-05,135.89703369140625,138.13834847416734,129.95068094251826,130.1793868174755,143661
2016-05-06,132.6036834716797,136.3087219955949,131.36867993644188,135.07370450125617,27313
2016-05-09,135.30238342285156,135.3938713519989,132.6494009867557,134.47904789691785,35247
2016-05-10,137.406494140625,138.1383557709666,133.65572596866113,135.16517923947228,53842
2016-05-11,141.11155700683594,141.79767478806852,133.1068495591224,137.22355624651792,292052
2016-05-12,141.70614624023438,143.07838140960695,140.01373124013367,140.88281072225004,70699
2016-05-13,144.496337890625,146.37172845325145,140.92853259321532,142.57521733013357,93233
2016-05-16,142.80393981933594,144.49635475160355,140.92854903787406,144.49635475160355,18984
2016-05-17,142.8496856689453,144.35915283765968,141.11152658156402,141.84338818223472,20305
2016-05-18,144.45062255859375,145.41119000873738,141.70615210623973,143.58154304050134,31446
2016-05-19,144.45062255859375,145.41119000873738,143.16987526446798,143.7187749385782,25222
2016-05-20,142.02633666992188,144.49635712453576,141.79763081377064,142.71245423837559,12366
2016-05-23,139.05319213867188,143.62731030112818,139.05319213867188,143.62731030112818,21740
2016-05-24,136.5373992919922,140.37965497271108,135.57683188203796,139.92224324978983,12292
2016-05-25,136.3544464111328,140.37966425536965,134.47905543132515,135.43962290479726,27302
2016-05-26,144.54212951660156,146.37177672567248,137.2692846523648,137.2692846523648,153849
2016-05-27,141.56890869140625,149.11620107721626,138.2298091588984,144.54208447975566,196175
2016-05-30,146.69195556640625,148.10992084111825,143.76450916404846,144.95378252011892,46727
2016-05-31,147.01211547851562,148.8875062134227,144.58783908694357,144.72505701133556,37477
2016-06-01,147.88119506835938,150.0767795747474,146.4174860231978,148.155644876545,113780
2016-06-02,151.26608276367188,152.318124284701,146.50898903614905,147.28659465367485,33882
2016-06-03,152.5467987060547,156.66350391851194,149.16195498985368,150.9458577900991,71014
2016-06-06,150.6714324951172,154.74239440898566,149.11623528701116,150.99162631403576,21685
2016-06-07,149.3449249267578,152.72976882546814,147.2865722095437,150.07678646247572,229359
2016-06-08,154.51368713378906,155.51999859066242,151.0830989295833,151.54051069014406,42005
2016-06-09,153.32440185546875,156.43479571887195,151.95216680530322,156.38905175871375,13770
2016-06-10,154.0105743408203,156.43485154426915,150.9001654083387,153.82759843489063,47900
2016-06-13,153.73609924316406,155.33704044393676,151.31180847796284,153.2786874715147,53486
2016-06-14,152.91273498535156,155.24553758842413,152.04365549454755,155.24553758842413,9317
2016-06-15,151.54051208496094,154.1477647277948,150.12254678145055,153.0499792841645,440475
2016-06-16,150.53421020507812,155.38277756262426,150.03105448662637,151.40328974107723,137197
2016-06-17,150.62570190429688,153.64462261115003,147.83550105919824,153.59887863879914,279516
2016-06-20,149.93954467773438,150.94585596782528,148.3843477414004,150.03103259832332,95285
2016-06-21,149.07049560546875,151.86071024209832,147.8354921807669,151.81496627249462,21872
2016-06-22,149.1619873046875,151.35755831001336,147.74400796582705,151.35755831001336,20876
2016-06-23,148.7960205078125,150.03103768212748,146.37174408012436,150.03103768212748,14506
2016-06-24,144.1761932373047,147.65251146776598,141.7976464867898,146.37176411539593,153853
2016-06-27,150.62570190429688,151.22034562665763,142.7582272284589,142.7582272284589,26547
2016-06-28,160.36854553222656,162.83856593150293,150.9916056401035,150.9916056401035,154053
2016-06-29,166.7723388671875,169.15087176323587,164.6682418736487,164.6682418736487,269187
2016-06-30,167.7786102294922,168.96788347145932,160.73447266274513,166.4978630206646,204440
2016-07-01,166.40635681152344,169.65398239885022,164.89690391274286,167.41266805010787,65161
2016-07-04,161.10043334960938,167.3669663154153,159.91115993827916,166.54363070093265,137180
2016-07-05,160.2770538330078,163.29597378728116,159.63668025703396,160.13983590926236,31238
2016-07-07,163.6162109375,166.49789977300793,157.57836942802535,160.09413439712299,48511
2016-07-08,164.16506958007812,165.49156082525622,161.51208708972192,163.5246959402437,18978
2016-07-11,160.46002197265625,165.58303869834347,157.6698217143545,164.71395924285125,44914
2016-07-12,166.45211791992188,168.28176475379647,158.4474130217205,160.46002174716307,246510
