Date,Close,High,Low,Open,Volume,Ticker
2016-04-18,464.6071166992188,466.84886260605776,461.1555837937888,466.84886260605776,31886,PGHL.NS
2016-04-20,486.1705322265625,488.9104057723183,463.7888171906324,466.8489464143243,84518,PGHL.NS
2016-04-21,484.0710144042969,492.3974429193796,481.7936943111413,492.3974429193796,19650,PGHL.NS
2016-04-22,486.6255493164063,491.6267374982951,482.16405675298296,485.36625953998674,7657,PGHL.NS
2016-04-25,479.1058349609375,487.88489345019786,478.53016835454514,487.88489345019786,4821,PGHL.NS
2016-04-26,484.5387878417969,493.56973113580005,476.04758417497,480.5450483968645,21695,PGHL.NS
2016-04-27,486.3376770019531,492.2023867514918,482.12806889400514,486.73348891135805,9924,PGHL.NS
2016-04-28,483.8192138671875,489.6839250268388,482.1641557481945,488.2807073466194,5855,PGHL.NS
2016-04-29,481.2646179199219,486.01396624630286,480.0412989303746,486.01396624630286,5003,PGHL.NS
2016-05-02,482.559814453125,486.30171277870494,478.5660757458546,485.0064521061498,8611,PGHL.NS
2016-05-03,480.4730529785156,485.4742414198824,480.329125355349,482.1281108435713,7827,PGHL.NS
2016-05-04,481.8043212890625,484.9705535571873,478.8899733607587,480.47308949482107,15499,PGHL.NS
2016-05-05,481.84027099609375,485.7260973430565,481.1566916251585,483.17154665225024,9775,PGHL.NS
2016-05-06,480.61712646484375,483.5674459927072,479.2498795106295,479.2498795106295,7536,PGHL.NS
2016-05-09,482.7397766113281,485.43825500168856,479.249762128014,482.12813907773176,7044,PGHL.NS
2016-05-10,486.3376770019531,489.32401022078136,480.1491850291417,480.1491850291417,15600,PGHL.NS
2016-05-11,483.4593811035156,485.6541787106672,480.688960798867,485.3663234413709,7862,PGHL.NS
2016-05-12,484.8625793457031,487.8848838706036,482.2000719328016,485.6901302715192,9791,PGHL.NS
2016-05-13,490.7991333007813,501.5570735769627,485.7979456624989,489.4679018214819,67032,PGHL.NS
2016-05-16,521.7778930664062,553.3681054723899,492.9221745755359,495.08095782185205,347108,PGHL.NS
2016-05-17,519.3670043945312,533.0033203948161,515.301280453156,522.4972209366272,63380,PGHL.NS
2016-05-18,512.6029663085938,523.1450400483517,510.192343045779,513.106691087248,58057,PGHL.NS
2016-05-19,508.4293518066406,518.0719331451761,504.4356121634936,512.387120518337,11356,PGHL.NS
2016-05-20,507.5657348632813,512.3510537055744,498.031112023957,504.3635759140558,13322,PGHL.NS
2016-05-23,505.9827880859375,515.2295579758012,502.7805844233458,509.8326003154402,9043,PGHL.NS
2016-05-24,512.2071533203125,517.9639070388224,505.15513879924686,509.2928055344259,18572,PGHL.NS
2016-05-25,513.1786499023438,518.827447118985,512.351098957999,513.6463598060868,12260,PGHL.NS
2016-05-26,519.4031982421875,525.2679098215816,514.5459363310937,515.2295597545436,24454,PGHL.NS
2016-05-27,514.330078125,521.7778623176647,511.631599226128,516.8486584306138,11289,PGHL.NS
2016-05-30,522.6052856445312,525.2677929579135,512.3510683358434,516.4527640434275,10360,PGHL.NS
2016-05-31,527.5345458984375,538.6163153114074,522.4614150393336,522.4973859690054,35916,PGHL.NS
2016-06-01,521.2019653320312,530.7006156435898,519.5828787080338,530.3048476973864,12046,PGHL.NS
2016-06-02,518.6475219726562,526.7429567589099,515.6972033076617,522.6772319424847,7117,PGHL.NS
2016-06-03,519.4031982421875,524.6922431199332,516.6687484689418,519.5830968314873,8899,PGHL.NS
2016-06-06,523.5765991210938,525.2676714454042,518.1436729739138,519.3669916100985,7336,PGHL.NS
2016-06-07,524.6561889648438,526.7070590815675,520.6264784346068,522.209594685968,5851,PGHL.NS
2016-06-08,528.0023803710938,537.5370059791578,524.8721623623289,525.3398723605798,11069,PGHL.NS
2016-06-09,523.3609008789062,533.7950177359305,522.0656399842129,528.9017855112288,8972,PGHL.NS
2016-06-10,522.353515625,530.3409947208249,520.3386164651971,523.1810227108367,6355,PGHL.NS
2016-06-13,509.0410461425781,520.9862944413834,507.9256397956609,518.1079171240276,13914,PGHL.NS
2016-06-14,502.6005554199219,510.9838011247333,501.197338008224,510.9838011247333,13049,PGHL.NS
2016-06-15,504.2556762695313,512.3511116716464,501.5931687309482,503.7159805760569,13781,PGHL.NS
2016-06-16,499.326416015625,506.52235777160433,498.0311113631144,502.4566331112589,12966,PGHL.NS
2016-06-17,499.8661804199219,503.356195083518,497.9952089536294,502.27680367161616,15810,PGHL.NS
2016-06-20,501.4852600097656,502.8524627586548,496.5200420213329,499.9740857034586,4130,PGHL.NS
2016-06-21,501.3412780761719,503.3561330124848,497.5993795255657,499.5063216863251,4192,PGHL.NS
2016-06-22,503.7159118652344,510.19225930350166,500.117941066197,502.24075262173744,7691,PGHL.NS
2016-06-23,505.8388366699219,507.3139962436833,499.39845871364,503.0324012501404,5962,PGHL.NS
2016-06-24,498.2830200195313,500.11797647284055,493.8574980551866,499.39838226208826,10842,PGHL.NS
2016-06-27,505.04730224609375,507.31404213021705,497.2397207262128,497.9952860474019,4331,PGHL.NS
2016-06-28,501.521240234375,506.59437110407737,500.1899644693431,503.032370648142,4107,PGHL.NS
2016-06-29,504.36370849609375,507.9616803246561,502.636664450162,504.651519890046,10725,PGHL.NS
2016-06-30,507.6737060546875,509.32876392391074,504.4355321677335,506.55834383329,6481,PGHL.NS
2016-07-01,511.5235290527344,513.7902683932757,503.7878912582978,509.3647464124265,14866,PGHL.NS
2016-07-04,512.3511962890625,518.6116761514247,510.9120075354415,510.9120075354415,9873,PGHL.NS
2016-07-05,511.5955200195313,516.3088533812721,508.7531140634974,516.3088533812721,12292,PGHL.NS
2016-07-07,509.3287048339844,513.7901971225175,507.2419082568187,513.6462695156862,8042,PGHL.NS
2016-07-08,506.918212890625,512.1712424910384,505.9107633034551,510.6960829616864,3919,PGHL.NS
2016-07-11,508.7170715332031,515.2293895301679,507.42181090229104,510.0483030859801,17201,PGHL.NS
2016-07-12,509.7965393066406,512.171191473515,508.03352466498296,509.4727131201245,14097,PGHL.NS
2016-07-13,502.0968933105469,510.9119229673784,501.73709618169664,510.83998110982753,14592,PGHL.NS
2016-07-14,504.3276672363281,509.1129870859934,500.83765231357086,500.83765231357086,6691,PGHL.NS
2016-07-15,503.0323791503906,506.5584087361759,502.2768139307366,505.1192201575778,4395,PGHL.NS
2016-07-18,504.6155090332031,508.57327773150274,504.4356104560077,505.4790309878514,7099,PGHL.NS
2016-07-19,503.7159118652344,505.8027524968928,502.2767235456194,505.0111725687794,6383,PGHL.NS
2016-07-20,503.572021484375,506.5943259631506,502.3127316115973,502.34870253813904,14629,PGHL.NS
2016-07-21,519.762939453125,531.0605784287407,515.8411418445753,515.8411418445753,42644,PGHL.NS
2016-07-22,524.2963256835938,527.4985287134763,520.266615661625,522.4253982992251,24028,PGHL.NS
2016-07-25,524.2963256835938,535.2701374247276,522.4253982992251,527.2466883073076,29530,PGHL.NS
2016-07-26,511.4876098632813,526.0234232290982,509.86852271927927,524.5842346566519,28168,PGHL.NS
2016-07-27,505.8747863769531,513.7903235748855,503.3921772898553,513.7543526444595,20238,PGHL.NS
2016-07-28,506.1626281738281,510.3362661646864,504.4355843538976,507.88962807320974,23392,PGHL.NS
