,Date,Close,High,Low,Open,Volume,Ticker
0,2021-03-30,73.5,76.0,73.0,75.5,494469,3IINFOLTD.NS
1,2021-03-31,74.5,75.0,72.0,73.5,280019,3IINFOLTD.NS
2,2021-04-01,78.0,78.0,78.0,78.0,167558,3IINFOLTD.NS
3,2021-04-05,81.5,81.5,80.0,81.5,1401506,3IINFOLTD.NS
4,2021-04-06,84.0,85.5,79.5,84.5,2464910,3IINFOLTD.NS
5,2021-04-07,80.0,85.0,80.0,84.5,1063371,3IINFOLTD.NS
6,2021-04-08,78.0,80.0,77.5,80.0,764223,3IINFOLTD.NS
7,2021-04-09,80.5,81.5,76.0,76.5,1023131,3IINFOLTD.NS
8,2021-04-12,76.5,79.5,76.5,79.0,940190,3IINFOLTD.NS
9,2021-04-13,74.0,77.0,73.0,74.0,1240086,3IINFOLTD.NS
10,2021-04-15,70.5,75.5,70.5,73.0,1717520,3IINFOLTD.NS
11,2021-04-16,70.5,72.0,69.0,70.0,783465,3IINFOLTD.NS
12,2021-04-19,67.0,69.0,67.0,69.0,1100133,3IINFOLTD.NS
13,2021-04-20,70.0,70.0,67.0,68.5,1085660,3IINFOLTD.NS
14,2021-04-22,70.0,72.0,68.5,69.5,1058662,3IINFOLTD.NS
15,2021-04-23,68.5,71.0,68.0,70.0,901877,3IINFOLTD.NS
16,2021-04-26,71.5,71.5,70.5,71.0,795588,3IINFOLTD.NS
17,2021-04-27,75.0,75.0,73.5,75.0,1042901,3IINFOLTD.NS
18,2021-04-28,78.5,78.5,77.0,78.5,3066740,3IINFOLTD.NS
19,2021-04-29,76.0,81.0,75.0,80.5,3042783,3IINFOLTD.NS
20,2021-04-30,79.5,79.5,73.5,77.0,3877978,3IINFOLTD.NS
21,2021-05-03,83.0,83.0,77.0,80.0,3538991,3IINFOLTD.NS
22,2021-05-04,79.0,86.0,79.0,86.0,2455032,3IINFOLTD.NS
23,2021-05-05,76.5,79.0,75.5,76.5,1413131,3IINFOLTD.NS
24,2021-05-06,77.5,79.0,74.0,78.0,1724912,3IINFOLTD.NS
25,2021-05-07,77.5,80.0,77.5,78.5,1357928,3IINFOLTD.NS
26,2021-05-10,81.0,81.0,79.5,80.0,872592,3IINFOLTD.NS
27,2021-05-11,85.0,85.0,80.5,81.0,2920449,3IINFOLTD.NS
28,2021-05-12,88.5,89.0,83.0,89.0,4329513,3IINFOLTD.NS
29,2021-05-14,92.5,92.5,86.0,91.5,5316443,3IINFOLTD.NS
30,2021-05-17,97.0,97.0,94.5,97.0,3623269,3IINFOLTD.NS
31,2021-05-18,92.5,98.0,92.5,97.5,10719099,3IINFOLTD.NS
32,2021-05-19,88.0,91.5,88.0,89.5,6956077,3IINFOLTD.NS
33,2021-05-20,87.0,92.0,84.0,85.0,6834960,3IINFOLTD.NS
34,2021-05-21,89.0,90.5,86.0,88.5,2983548,3IINFOLTD.NS
35,2021-05-24,87.5,91.0,87.0,89.5,2701606,3IINFOLTD.NS
36,2021-05-25,89.0,91.5,86.5,89.0,5713158,3IINFOLTD.NS
37,2021-05-26,93.0,93.0,89.0,90.0,2670331,3IINFOLTD.NS
38,2021-05-27,93.0,96.5,89.0,96.0,5602835,3IINFOLTD.NS
39,2021-05-28,90.0,96.0,89.5,95.5,2892685,3IINFOLTD.NS
40,2021-05-31,87.5,93.0,86.5,93.0,2241076,3IINFOLTD.NS
41,2021-06-01,89.0,91.0,84.5,88.0,2821838,3IINFOLTD.NS
42,2021-06-02,92.0,93.0,86.5,88.5,3910785,3IINFOLTD.NS
43,2021-06-03,89.5,92.5,89.0,92.0,1782570,3IINFOLTD.NS
44,2021-06-04,88.5,90.0,87.0,89.0,1380426,3IINFOLTD.NS
45,2021-06-07,88.5,91.0,88.0,89.0,1771692,3IINFOLTD.NS
46,2021-06-08,88.0,89.5,86.5,88.5,1276522,3IINFOLTD.NS
47,2021-06-09,86.5,89.5,86.0,89.0,691583,3IINFOLTD.NS
48,2021-06-10,90.5,90.5,87.5,88.0,903322,3IINFOLTD.NS
49,2021-06-11,91.0,95.0,89.0,95.0,2032149,3IINFOLTD.NS
50,2021-06-14,90.0,92.5,87.5,90.0,1027799,3IINFOLTD.NS
51,2021-06-15,91.0,94.0,89.0,90.0,1013256,3IINFOLTD.NS
52,2021-06-16,95.5,95.5,91.5,92.5,1958036,3IINFOLTD.NS
53,2021-06-17,100.0,100.0,100.0,100.0,323883,3IINFOLTD.NS
54,2021-06-18,105.0,105.0,95.5,105.0,3335026,3IINFOLTD.NS
55,2021-06-21,110.0,110.0,105.5,107.0,3076546,3IINFOLTD.NS
56,2021-06-22,109.0,115.5,105.5,115.5,4500412,3IINFOLTD.NS
57,2021-06-23,106.0,110.0,104.0,109.5,1825213,3IINFOLTD.NS
58,2021-06-24,101.0,107.0,101.0,107.0,860902,3IINFOLTD.NS
59,2021-06-25,96.0,99.5,96.0,96.0,861763,3IINFOLTD.NS
60,2021-06-28,100.0,100.5,95.5,95.5,1743073,3IINFOLTD.NS
61,2021-06-29,99.5,104.0,98.5,102.5,1085630,3IINFOLTD.NS
62,2021-06-30,98.5,102.5,97.5,102.5,1034134,3IINFOLTD.NS
63,2021-07-01,99.0,101.5,95.5,100.0,927126,3IINFOLTD.NS
64,2021-07-02,99.5,101.0,97.5,100.0,777880,3IINFOLTD.NS
65,2021-07-05,100.5,101.5,99.0,101.5,1610173,3IINFOLTD.NS
66,2021-07-06,100.0,102.5,99.5,101.0,1226426,3IINFOLTD.NS
67,2021-07-07,99.5,101.0,96.0,100.0,594809,3IINFOLTD.NS
68,2021-07-08,98.0,100.5,97.5,100.5,641667,3IINFOLTD.NS
69,2021-07-09,98.0,99.5,95.0,98.5,622544,3IINFOLTD.NS
70,2021-07-12,98.0,100.5,97.5,98.0,558734,3IINFOLTD.NS
71,2021-07-13,96.5,100.0,96.0,99.0,386111,3IINFOLTD.NS
72,2021-07-14,96.0,98.0,95.5,98.0,464511,3IINFOLTD.NS
73,2021-07-15,95.0,98.0,94.5,97.0,660663,3IINFOLTD.NS
74,2021-07-16,91.5,96.5,90.5,96.5,1033630,3IINFOLTD.NS
75,2021-07-19,93.5,95.0,87.0,91.5,827787,3IINFOLTD.NS
76,2021-07-20,90.5,94.5,89.0,94.5,478531,3IINFOLTD.NS
77,2021-07-22,90.0,93.0,89.0,92.5,469168,3IINFOLTD.NS
78,2021-07-23,87.5,92.0,87.0,92.0,580188,3IINFOLTD.NS
79,2021-07-26,91.5,91.5,84.5,88.0,492240,3IINFOLTD.NS
80,2021-07-27,96.0,96.0,94.0,95.0,776540,3IINFOLTD.NS
81,2021-07-28,96.0,100.5,91.5,100.5,959434,3IINFOLTD.NS
82,2021-07-29,94.0,99.0,93.0,98.0,349621,3IINFOLTD.NS
83,2021-07-30,93.0,97.0,92.5,96.0,329713,3IINFOLTD.NS
84,2021-08-02,92.5,95.0,91.5,93.0,415489,3IINFOLTD.NS
85,2021-08-03,93.5,96.0,92.0,94.0,524999,3IINFOLTD.NS
86,2021-08-04,89.0,95.0,89.0,94.5,910024,3IINFOLTD.NS
87,2021-08-05,90.0,92.0,86.0,89.0,540364,3IINFOLTD.NS
88,2021-08-06,89.5,91.5,87.5,90.0,307524,3IINFOLTD.NS
89,2021-08-09,87.5,91.0,87.0,90.0,385504,3IINFOLTD.NS
